customer_id,full_name,email,phone,city,registration_date,membership_tier
CUS-1041,Trần Thị Hoa,trầnthịhoa50@gmail.com,0911572381,Hà Nội,20/02/2022,Platinum
CUS-1042,Trần Thị Hằng,trầnthịhằng38@yahoo.com,0916384738,Hồ Chí Minh,13/10/2023,Platinum
CUS-1043,Hồ Thị Hằng,hồthịhằng45@yahoo.com,0923911628,Cần Thơ,20/12/2022,Platinum
CUS-1044,Đặng Thị Dung,dặngthịdung94@outlook.com,0966392332,Hà Nội,04/11/2022,GOLD
CUS-1045,Hồ Thị Lan,hồthịlan31@gmail.com,0927803613,Hà Nội,03/05/2023,Gold
CUS-1046,Đỗ Thị Hoa,dỗthịhoa33@yahoo.com,0953407129,Đà Nẵng,17/09/2023,GOLD
CUS-1047,ĐẶNG VĂN AN,dặngvănan17@company.vn,0939814631,Hải Phòng,30/11/2023,Platinum
CUS-1048,Đỗ Văn Em,dỗvănem92@outlook.com,0990040039,Đà Nẵng,29/05/2022,
CUS-1049,Đỗ Văn Giang,dỗvăngiang23@company.vn,0987994879,Cần Thơ,25/02/2023,bronze
CUS-1050,Đặng Văn Hải,dặngvănhải35@gmail.com,0986205536,Hải Phòng,01/12/2022,Gold
CUS-1051,Vũ Thị Dung,vũthịdung45@outlook.com,0999535510,Hà Nội,17/06/2023,Silver
CUS-1052,Hồ Thị Bình,hồthịbình55@outlook.com,0905958364,Hà Nội,23/07/2022,Bronze
CUS-1053,Hoàng Minh Cường,hoàngminhcường72@yahoo.com,0953407129,Cần Thơ,30/03/2022,Silver
CUS-1054,Trần Thị Hằng,trầnthịhằng91@company.vn,0912228108,Hà Nội,24/07/2022,Bronze
CUS-1055,Lê Thị Hằng,lêthịhằng61@yahoo.com,0927690627,Cần Thơ,25/06/2023,Platinum
CUS-1056,Bùi Thị Hoa,bùithịhoa87@yahoo.com,0910477658,Hà Nội,31/07/2022,Platinum
CUS-1057,Đặng Văn Hải,dặngvănhải19@yahoo.com,0984-812-689,Đà Nẵng,12/05/2022,Gold
CUS-1058,Hoàng Thị Lan,hoàngthịlan64@yahoo.com,0957341521,Đà Nẵng,04/10/2022,bronze
CUS-1059,Đặng Thị Bình,dặngthịbình94@outlook.com,0974050629,Hải Phòng,28/02/2023,Bronze
CUS-1060,Bùi Thị Dung,bùithịdung58@yahoo.com,0960112031,Hà Nội,30/10/2023,Bronze
CUS-1061,Trần Thị Bình,trầnthịbình63@outlook.com,0920567343,Hà Nội,16/07/2023,Gold
CUS-1062,Hồ Văn Giang,hồvăngiang53@gmail.com,+84939598138,Hải Phòng,12/07/2023,bronze
CUS-1063,Lê Thị Dung,lêthịdung54@gmail.com,0993576529,Hà Nội,02/01/2023,Gold
CUS-1064,Bùi Thị Bình,bùithịbình10@company.vn,0908-560-544,Hồ Chí Minh,30/06/2023,
CUS-1065,Hoàng Thị Hoa,hoàngthịhoa39@yahoo.com,0969239641,Cần Thơ,25/05/2022,
CUS-1066,Lê Văn An,lêvănan14@yahoo.com,+84984090536,Hải Phòng,09/04/2022,GOLD
CUS-1067,Trần Văn Hải,trầnvănhải66@outlook.com,0921129382,Hải Phòng,01/11/2022,GOLD
CUS-1068,Lê Văn Giang,lêvăngiang85@gmail.com,0911110455,Hồ Chí Minh,22/10/2023,Silver
CUS-1069,Đặng Thị Bình,dặngthịbình84@company.vn,0947895352,Hà Nội,25/06/2022,Bronze
CUS-1070,TRẦN MINH CƯỜNG,trầnminhcường9@outlook.com,0953971486,Cần Thơ,15/02/2023,GOLD
CUS-1071,Nguyễn Thị Lan,nguyễnthịlan82@yahoo.com,+84976105295,Hải Phòng,27/04/2023,Platinum
CUS-1072,Phạm Thị Hoa,phạmthịhoa86@gmail.com,0923267745,Hồ Chí Minh,28/06/2022,bronze
CUS-1073,Vũ Thị Lan,vũthịlan72@yahoo.com,0941533647,Hồ Chí Minh,20/02/2022,Silver
CUS-1074,BÙI VĂN HẢI,bùivănhải96@yahoo.com,0923-911-628,Hải Phòng,14/08/2023,Bronze
CUS-1075,Hoàng Thị Lan,hoàngthịlan99@company.vn,0918-382-581,Đà Nẵng,09/04/2023,Silver
CUS-1076,bùi thị dung,bùithịdung34@company.vn,0974862570,Đà Nẵng,13/06/2022,Platinum
CUS-1077,Trần Thị Hằng,trầnthịhằng61yahoo.com,+84930339338,Hồ Chí Minh,12/05/2022,Silver
CUS-1078,Phạm Thị Hoa,phạmthịhoa8@yahoo.com,0938809797,Cần Thơ,13/10/2023,Bronze
CUS-1079,Lê Văn Giang,lêvăngiang92@outlook.com,0905958364,Cần Thơ,02/11/2022,
CUS-1080,Đặng Thị Bình,dặngthịbình67@company.vn,0916384738,Cần Thơ,29/10/2022,Gold
CUS-1070,TRẦN MINH CƯỜNG,trầnminhcường9@outlook.com,0953971486,Cần Thơ,15/02/2023,GOLD
CUS-1082,Đặng Văn An,dặngvănan40@company.vn,0993576529,Hà Nội,13/01/2022,Bronze
CUS-1083,Đặng Văn Em,dặngvănem16@gmail.com,0900532916,Hồ Chí Minh,25/10/2023,
CUS-1084,Đỗ Văn Em,dỗvănem24@yahoo.com,0916090322,Hồ Chí Minh,23/11/2022,bronze
CUS-1085,Hồ Thị Hằng,hồthịhằng51gmail.com,+84903465807,Hải Phòng,03/03/2022,Bronze
CUS-1086,Bùi Thị Dung,bùithịdung33@yahoo.com,0914-762-497,Hải Phòng,11/06/2022,Gold
CUS-1058,Hoàng Thị Lan,hoàngthịlan64@yahoo.com,0957341521,Đà Nẵng,04/10/2022,bronze
CUS-1050,Đặng Văn Hải,dặngvănhải35@gmail.com,0986205536,Hải Phòng,01/12/2022,Gold
CUS-1089,Hồ Văn Giang,hồvăngiang30@outlook.com,0906167110,Đà Nẵng,12/09/2022,Silver
CUS-1090,Nguyễn Thị Lan,nguyễnthịlan17@company.vn,0965724952,Hải Phòng,01/01/2022,bronze
CUS-1091,Đặng Minh Cường,dặngminhcường99@outlook.com,0978573891,Hồ Chí Minh,13/08/2023,Bronze
CUS-1092,Nguyễn Văn An,nguyễnvănan55@yahoo.com,0927690627,Đà Nẵng,18/12/2022,Bronze
CUS-1093,Đỗ Thị Bình,dỗthịbình97@company.vn,0974050629,Hà Nội,21/04/2022,GOLD
CUS-1094,Trần Thị Hoa,trầnthịhoa96@company.vn,0946365601,Cần Thơ,02/08/2023,Silver
CUS-1095,Đỗ Văn Giang,dỗvăngiang67@company.vn,0932251584,Cần Thơ,15/11/2023,
CUS-1096,Nguyễn Thị Hằng,nguyễnthịhằng6@company.vn,0989-273-816,Hải Phòng,07/10/2023,Silver
CUS-1078,Phạm Thị Hoa,phạmthịhoa8@yahoo.com,0938809797,Cần Thơ,13/10/2023,Bronze
CUS-1098,Đặng Thị Lan,dặngthịlan99@outlook.com,0962905691,Hồ Chí Minh,20/05/2022,bronze
CUS-1099,Hoàng Thị Lan,hoàngthịlan66@yahoo.com,0902-747-555,Đà Nẵng,04/11/2022,Bronze
CUS-1100,Hoàng Văn An,hoàngvănan19@company.vn,0987994879,Cần Thơ,18/01/2022,Platinum
CUS-1101,Lê Văn An,lêvănan11@outlook.com,0961612490,Cần Thơ,16/05/2022,Bronze
CUS-1102,Hồ Văn Hải,hồvănhải62@company.vn,0972958288,Cần Thơ,03/08/2022,bronze
CUS-1103,Vũ Thị Lan,vũthịlan70@yahoo.com,0953971486,Hồ Chí Minh,21/10/2023,bronze
CUS-1005,Hồ Văn Em,hồvănem87@gmail.com,+84943166247,Hồ Chí Minh,10/11/2023,Platinum
CUS-1105,Đặng Văn Hải,dặngvănhải82@company.vn,0936993563,Hải Phòng,03/03/2023,Silver
CUS-1106,Bùi Thị Bình,bùithịbình19@outlook.com,0921-129-382,Hà Nội,19/02/2022,Bronze
CUS-1107,Phạm Thị Dung,phạmthịdung47@company.vn,0961612490,Hồ Chí Minh,15/11/2022,
CUS-1108,Hồ Văn Giang,hồvăngiang52@yahoo.com,0940099522,Đà Nẵng,09/04/2022,Silver
CUS-1109,Bùi Văn Giang,bùivăngiang30@company.vn,0957341521,Đà Nẵng,06/02/2022,Bronze
CUS-1110,Trần Thị Dung,trầnthịdung96@outlook.com,0902877475,Hồ Chí Minh,19/02/2022,Platinum
CUS-1111,Bùi Văn An,bùivănan32@gmail.com,0986205536,Hồ Chí Minh,08/08/2022,bronze
CUS-1112,Hoàng Minh Cường,hoàngminhcường94@outlook.com,0914762497,Hà Nội,29/10/2023,Bronze
CUS-1113,Đặng Văn Hải,dặngvănhải40@company.vn,0954-347-962,Hà Nội,11/11/2022,Bronze
CUS-1114,BÙI VĂN HẢI,bùivănhải28@outlook.com,0992853208,Hải Phòng,22/10/2023,bronze
CUS-1115,ĐỖ THỊ LAN,dỗthịlan61@company.vn,+84942831915,Hà Nội,31/08/2023,
CUS-1116,Hoàng Thị Bình,hoàngthịbình9@gmail.com,0989179274,Hồ Chí Minh,06/07/2022,GOLD
CUS-1117,Lê Thị Hằng,lêthịhằng66@yahoo.com,0965198037,Hồ Chí Minh,03/03/2023,GOLD
CUS-1118,Hồ Thị Hằng,hồthịhằng94@company.vn,0989-179-274,Đà Nẵng,25/07/2022,bronze
CUS-1119,Lê Minh Cường,lêminhcường93@gmail.com,0984090536,Hải Phòng,23/09/2023,bronze
CUS-1120,Trần Thị Lan,trầnthịlan8@outlook.com,0956248437,Cần Thơ,05/10/2022,Gold
CUS-1121,Lê Thị Lan,lêthịlan52@company.vn,0965330284,Hải Phòng,30/01/2022,Silver
CUS-1122,Trần Văn Giang,trầnvăngiang33@company.vn,0906167110,Hà Nội,09/08/2022,Bronze
CUS-1123,Lê Văn Em,lêvănem99@outlook.com,0955334439,Đà Nẵng,20/11/2022,Gold
CUS-1124,Hồ Thị Hoa,hồthịhoa38@outlook.com,0959620198,Hải Phòng,15/03/2023,Bronze
CUS-1125,bùi thị hoa,bùithịhoa26@yahoo.com,0956855311,Cần Thơ,10/01/2022,bronze
CUS-1126,Đặng Thị Hoa,dặngthịhoa50@yahoo.com,0965330284,Hà Nội,21/01/2022,bronze
CUS-1127,Nguyễn Thị Hằng,nguyễnthịhằng67@company.vn,0952-276-682,Hà Nội,09/08/2022,GOLD
CUS-1128,Bùi Thị Lan,bùithịlan96@company.vn,+84979721837,Hải Phòng,15/01/2022,Platinum
CUS-1129,Hoàng Văn An,hoàngvănan98@company.vn,0914688197,Hồ Chí Minh,04/09/2023,Bronze
CUS-1130,Bùi Văn Em,bùivănem85@outlook.com,0947229002,Hà Nội,13/10/2022,Silver
CUS-1131,Vũ Minh Cường,vũminhcường94@outlook.com,0922048441,Hà Nội,19/03/2022,bronze
CUS-1132,LÊ VĂN GIANG,lêvăngiang94@yahoo.com,0947229002,Hải Phòng,25/05/2022,Silver
CUS-1133,Bùi Văn Em,bùivănem49@yahoo.com,0954629348,Hà Nội,01/08/2022,Bronze
CUS-1134,Hoàng Thị Hoa,hoàngthịhoa63@company.vn,0954770704,Hà Nội,15/08/2022,bronze
CUS-1135,Vũ Thị Bình,vũthịbình20@company.vn,0997912275,Cần Thơ,31/05/2022,bronze
CUS-1136,Vũ Văn Giang,vũvăngiang34@outlook.com,0965666581,Hồ Chí Minh,16/08/2023,Platinum
CUS-1137,Hồ Thị Hằng,hồthịhằng93@yahoo.com,0960-185-845,Hồ Chí Minh,19/08/2023,Silver
CUS-1138,Vũ Văn Em,vũvănem63@outlook.com,+84959699527,Đà Nẵng,11/11/2022,bronze
CUS-1139,Lê Văn Hải,lêvănhải53outlook.com,0996-814-817,Hải Phòng,13/08/2022,GOLD
CUS-1140,Hoàng Minh Cường,hoàngminhcường37@company.vn,0917196486,Hồ Chí Minh,26/05/2023,GOLD
CUS-1141,Trần Thị Dung,trầnthịdung39company.vn,+84963202176,Hà Nội,24/02/2022,Bronze
CUS-1142,Bùi Thị Bình,bùithịbình93@outlook.com,0978-246-469,Hà Nội,13/03/2022,Gold
CUS-1143,Phạm Văn Em,phạmvănem5@gmail.com,0973480357,Đà Nẵng,10/10/2023,Silver
CUS-1144,Lê Thị Bình,lêthịbình61@outlook.com,0953971486,Đà Nẵng,08/02/2023,
CUS-1145,Hoàng Minh Cường,hoàngminhcường24@outlook.com,0977809416,Hà Nội,02/11/2023,bronze
CUS-1146,trần văn hải,trầnvănhải11@company.vn,0904572024,Hà Nội,06/08/2022,Platinum
CUS-1147,Trần Minh Cường,trầnminhcường90gmail.com,0988-076-803,Hải Phòng,16/08/2023,Silver
CUS-1148,PHẠM VĂN GIANG,phạmvăngiang34@gmail.com,0989273816,Cần Thơ,27/05/2022,Gold
CUS-1111,Bùi Văn An,bùivănan32@gmail.com,0986205536,Hồ Chí Minh,08/08/2022,bronze
CUS-1150,Vũ Văn An,vũvănan18yahoo.com,0973480357,Hải Phòng,13/04/2023,GOLD
